transaction_id,last_updated,product,quantity,price,customer_name
1,2025-02-22,Father Laptop,9,966.8,Andre Jones
2,2025-02-12,Behind Phone,5,1313.42,Roberta Lee
3,2025-03-19,Political Phone,8,1560.93,Anthony Andrews
4,2025-03-13,Answer Laptop,4,134.72,Anna Kelly
5,2025-01-03,Mouth Phone,6,649.93,Ashley Gentry
6,2025-01-10,Husband Laptop,10,1037.44,Bobby Payne
7,2025-03-03,Remember Tablet,5,1829.04,Brenda Reynolds
8,2025-03-01,Represent Tablet,2,1487.61,Ryan Prince
9,2025-02-04,Book Phone,1,1426.2,Beth Blanchard
10,2025-02-08,Music Phone,1,623.59,Brenda Foster
11,2025-01-12,Toward Laptop,6,668.14,Ricky Galvan
12,2025-03-13,Western Laptop,9,731.28,David Bishop
13,2025-01-15,Student Tablet,4,1767.02,Earl Smith
14,2025-03-18,Imagine Phone,2,658.9,Mary Vega
15,2025-03-03,They Laptop,3,1320.13,Christina Foster
16,2025-01-18,Skin Phone,1,941.23,Susan Hudson
17,2025-03-24,Collection Tablet,2,1986.05,David Flores
18,2025-03-22,Pay Laptop,10,178.35,Dr. Bruce Richardson
19,2025-03-11,Science Phone,7,263.79,Edward Miller
20,2025-03-10,Protect Laptop,7,226.12,Alan Mason
21,2025-03-31,Pretty Phone,4,1610.99,Zoe Larson
22,2025-02-08,Strategy Laptop,3,1445.9,Ronnie Garcia
23,2025-03-25,Bar Phone,8,367.29,Nicholas Taylor
24,2025-03-19,Wind Laptop,9,485.28,Robert Walker
25,2025-02-24,Majority Phone,10,282.02,Megan Williamson
26,2025-01-27,Entire Phone,7,917.44,Christopher Turner
27,2025-02-05,Personal Tablet,2,625.05,Mr. Jordan Watts MD
28,2025-03-16,Possible Tablet,6,1123.67,Leslie Reyes
29,2025-03-16,Nice Phone,2,1407.78,Isabella Hanson
30,2025-01-14,Voice Tablet,4,644.49,Sarah Harris
31,2025-01-21,Take Tablet,8,806.82,Danielle Lawrence
32,2025-03-15,Sit Laptop,2,1660.0,Felicia Gordon
33,2025-02-08,That Laptop,2,1481.97,Erik Conner
34,2025-02-10,Direction Phone,1,1392.19,Kelly Riley
